,title,desc,link,date,year,month,day,datenoyear,placeQID,placename
0," 28.03.22  - Bergamo, due militanti di CasaPound hanno picchiato un uomo senegalese"," 28.03.22  - Bergamo, due militanti di CasaPound hanno picchiato un uomo senegalese
Secondo le testimonianze di chi ha assistito al pestaggio, uno degli esponenti di CasaPound teneva fermo l’aggredito, mentre l’altro lo picchiava.",/antifa/article/6708/bergamo-due-militanti-di-casapound-hanno-picchiato-un-uomo-senegalese,2022-03-28,2022,3,28,03-28,Q628,Bergamo
1," 12.03.22  - Ragazzo ferito da militanti neofascisti, al Mamiani striscione e raduno di un centinaio di studenti"," 12.03.22  - Ragazzo ferito da militanti neofascisti, al Mamiani striscione e raduno di un centinaio di studenti
Il ragazzo ferito, un 17enne del Mamiani, sarebbe stato medicato al pronto soccorso dove gli sono stati dati nove giorni di prognosi. A scatenare la rissa un volantinaggio davanti scuola",/antifa/article/6700/ragazzo-ferito-da-militanti-neofascisti-al-mamiani-striscione-e-raduno-di-un-centinaio-di-studenti,2022-03-12,2022,3,12,03-12,-,Roma
2,9.03.22  - A gennaio aggredito un 17enne in via Mazzini: oggi perquisizioni per 23 militanti di CasaPound," 9.03.22  - A gennaio aggredito un 17enne in via Mazzini: oggi perquisizioni per 23 militanti di CasaPound
Il 22 gennaio, in pieno centro a Verona, un 17enne è stato aggredito da un gruppo di giovani ricondotti dalla Digos a CasaPound e Blocco Studentesco. Questa mattina sono scattate le perquisizioni per 23 di loro.",/antifa/article/6697/a-gennaio-aggredito-un-17enne-in-via-mazzini-oggi-perquisizioni-per-23-militanti-di-casapound,2022-03-09,2022,3,9,03-09,-,Verona
3,21.01.22  - Salgono a 6 i poliziotti feriti durante lo sgombero dei locali dell'Inps occupati dal circolo Futurista di Casapound," 21.01.22  - Salgono a 6 i poliziotti feriti durante lo sgombero dei locali dell'Inps occupati dal circolo Futurista di Casapound
Roma: scontri e sei poliziotti feriti nel corso delle operazioni di sgombero dei locali occupati dal circolo Futurista di Casapound, nel quartiere Casalbertone – Portonaccio. – RASSEGNA STAMPA – ",/antifa/article/6666/salgono-a-6-i-poliziotti-feriti-durante-lo-sgombero-dei-locali-dellinps-occupati-dal-circolo-futurista-di-casapound,2022-01-21,2022,1,21,01-21,-,Roma
4,30.11.21  - Accoltella un minore a una festa di Halloween: in casa aveva stemmi nazisti e di Casapound," 30.11.21  - Accoltella un minore a una festa di Halloween: in casa aveva stemmi nazisti e di Casapound
Il ragazzo, dalle dichiarazioni dei testimoni presenti ai fatti, risultava avesse tentato di accoltellare il minore anche al collo, non riuscendovi per pura fortuna
",/antifa/article/6621/accoltella-un-minore-a-una-festa-di-halloween-in-casa-aveva-stemmi-nazisti-e-di-casapound,2021-11-30,2021,11,30,11-30,-,Casalfiumanese
5," 10.10.21  - Roma, in 30 assaltano l’ospedale Umberto I: “Volevano liberare un manifestante in stato di fermo che aveva rifiutato il tampone”"," 10.10.21  - Roma, in 30 assaltano l’ospedale Umberto I: “Volevano liberare un manifestante in stato di fermo che aveva rifiutato il tampone”
Oltre alla distruzione dei locali, quattro persone sono rimaste ferite, due poliziotti e due del personale sanitario. Un’infermiera è stata colpita alla testa da una bottiglia. ",/antifa/article/6583/roma-in-30-assaltano-lospedale-umberto-i-volevano-liberare-un-manifestante-in-stato-di-fermo-che-aveva-rifiutato-il-tampone,2021-10-10,2021,10,10,10-10,Q220,Roma
6,9.10.21  - I fascisti hanno assaltato la sede nazionale del sindacato Cgil e nessuno li ha fermati," 9.10.21  - I fascisti hanno assaltato la sede nazionale del sindacato Cgil e nessuno li ha fermati
Il sindacato: “Abbiamo resistito allora, resisteremo ora e ancora. A tutti ricordiamo che organizzazioni che si richiamano al fascismo vanno sciolte”.",/antifa/article/6580/i-fascisti-hanno-assaltato-la-sede-nazionale-del-sindacato-cgil-e-nessuno-li-ha-fermati,2021-10-09,2021,10,9,10-09,Q1125068,Cgil
7," 2.10.21  - Afragola, aggredita la deputata M5s Iolanda Di Stasio. Squarciato pneumatico dell'auto di Francesco Zanfardino, segretario del Pd."," 2.10.21  - Afragola, aggredita la deputata M5s Iolanda Di Stasio. Squarciato pneumatico dell'auto di Francesco Zanfardino, segretario del Pd.
Denunciata ai carabinieri anche un’aggressione contro il responsabile dell’area a nord di Napoli di Europa Verde, Salvatore Iavarone. 
Luigi Di Maio cita un terzo caso, vittima Matteo Vocale a San Nicola Garganico",/antifa/article/6578/afragola-aggredita-la-deputata-m5s-iolanda-di-stasio-squarciato-pneumatico-dellauto-di-francesco-zanfardino-segretario-del-pd,2021-10-02,2021,10,2,10-02,-,Afragola
8," 2.10.21  - Elezioni, violenza neofascista a Nardò: botte e insulti omofobici ai candidati 5 Stelle e Pd. Casili (M5S): ""Il sindaco Mellone incita all'odio"""," 2.10.21  - Elezioni, violenza neofascista a Nardò: botte e insulti omofobici ai candidati 5 Stelle e Pd. Casili (M5S): ""Il sindaco Mellone incita all'odio""
Un dito fratturato e problemi all’udito per Tiziano De Pirro (M5s), offese omofobiche a una ragazza in lista con il Pd e a un cittadino da persone vicine agli ambienti di CasaPound. Le aggessioni al termine del comizio del candidato, e primo cittadino in carica, Mellone",/antifa/article/6577/elezioni-violenza-neofascista-a-nard-botte-e-insulti-omofobici-ai-candidati-5-stelle-e-pd-casili-m5s-il-sindaco-mellone-incita-allodio,2021-10-02,2021,10,2,10-02,-,Nardò
9,9.09.21  - Aggressione razzista in metro: afgano pestato da un fascista a Ponte Mammolo," 9.09.21  - Aggressione razzista in metro: afgano pestato da un fascista a Ponte Mammolo
L’aggressore ha rivendicato il gesto sottolineando agli agenti il proprio credo politico, mostrando una croce celtica tatuata sulla mano
L’aggressione razzista avvenuta all’ingresso della metro Ponte Mammolo",/antifa/article/6642/aggressione-razzista-in-metro-afgano-pestato-da-un-fascista-a-ponte-mammolo,2021-09-09,2021,9,9,09-09,Q1227426,Ponte Mammolo
