IDK;NCTR;NCTN;ESC;OGTD;OGTT;OGTR;QNTN;SGTI;SGTT;PVCS;PVCR;PVCP;PVCJ;LDCT;LDCQ;LDCN;LDCU;LDCM;LDCZ;COLD;DTZG;DTZS;DTSI;DTSV;DTSF;DTSL;AUTN;ATBD;ATBR;MTC;MISU;MISL;MISP;MISD;MISN;DESO;NSC;STCD;STCC;CDGG;CMPD;CMPN;CMPE;FUR;GPDPX;GPDPY;MUNICIPIO;ID_NIL;NIL;WGS84_Y;WGS84_X;location
v5010-00332;3;2023723.0;R03/ Museo Poldi Pezzoli;bottiglia;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. II/V d.C.;;99 d.C.;ca.;499 d.C.;ca.;;;;vetro soffiato/ decorazione a caldo;cm;;;6;;"Vetro di colore azzurro intenso; bolle d'aria e striature. 
Corpo piriforme, breve collo con strozzatura alla base; piede ad anello da stessa parete ripiegata. Fondo concavo.
Corpo decorato con depressioni verticali.";;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00036;3;2023433.0;R03/ Museo Poldi Pezzoli;testa/ frammento;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. V a.C.||sec. III a.C.;||prima metà;499 a.C.||299;ca.||c.a.;400 a.C.||250;ca.||c.a.;;;;argilla/ a matrice/ a stecca;cm;8;;;;testa di banchettante;;2009;frammentario;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00111;3;2023508.0;R03/ Museo Poldi Pezzoli;ciotola;Serie Morel 2771;J.-P. Morel, Cèramique campanienne. Les formes. Roma 1981;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. IV a.C.;seconda metà;349 a.C.;ca.;300 a.C.;ca.;;;;argilla/ a tornio;cm||;;;13,5||4,3;;"Corpo ceramico beige; vernice bruna rossastra a macchie diluita. 
Orlo indistinto a profilo arrotondato, leggermente introflesso, corpo emisferico, piede ad anello ombelicato.";;2009;mutilo;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00200;3;2023596.0;R03/ Museo Poldi Pezzoli;fibula;a grandi coste;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. VI a.C.;prima metà;599 a.C.;ca.;550 a.C.;ca.;;;;bronzo;cm;;;;6,5;"L'arco presenta grandi coste di tipo evoluto con staffa assimetrica; molla a doppio avvolgimento ad un solo lato. Nell'ago sono inserite due anelli a doppio filo di bronzo avvolto a spirale.";;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00194;3;2023590.0;R03/ Museo Poldi Pezzoli;pettorale/ frammenti;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. V/IV a.C.;;499 a.C.;ca.;300 a.C.;ca.;;;;bronzo;cm||;;;;13,6||8,2;Elementi di pettorale a cui appertengono sei frammenti con nn. d'inventario 2466 (a-f), assemblati tra loro, e due con nn. d'inventario 2468 (c-d) uniti tra loro.;;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00160;3;2023557.0;R03/ Museo Poldi Pezzoli;punta di lancia;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. XI a.C.;;1099 a.C.;ca.;1000 a.C.;ca.;;;;bronzo;cm;4;;1,7;21,2;"Lama di forma ovale con costolatura rilevata; immanicatura a cannone circolare con fori per fissaggio nella parte mediana e solcature alla base, formanti nervature parallele.";;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00275;3;2023666.0;R03/ Museo Poldi Pezzoli;fibula;a navicella;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. VII a.C.;;699 a.C.;ca.;600 a.C.;ca.;;;;bronzo;cm;;;;5,5;"Arco a navicella cava che va restrinegndosi alle estremità; da un lato spire della molle, dall'altro staffa in lamina piatta.
L'arco è decorato con elementi geometrici incisi disposte a fasci trasversali e a spina di pesce.";;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00051;3;2023448.0;R03/ Museo Poldi Pezzoli;lopas;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. IV a.C.;;399 a.C.;ca.;300 a.C.;ca.;;;;argilla/ a tornio;cm||;;;14,5||4,4;;"Corpo ceramico nocciola, ingobbio rossiccio.
Labbro estroflesso ingrossato, vasca aperta, pareti verticali; fondo ombelicato, piede a disco. Ansa a nastro ad orecchio.
Tracce di contatto da fuoco";;2009;parzialmente ricomposto;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00199;3;2023595.0;R03/ Museo Poldi Pezzoli;fibula a navicella;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. VII a.C.;;699 a.C.;ca.;600 a.C.;ca.;;;;bronzo;cm;2,3;;;5,8;"Navicella romboidale con bottoni laterali, molla a doppia avvolgimento laterale; staffa a fodero con bottone terminale a forma di globetto.";;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00256;3;2023647.0;R03/ Museo Poldi Pezzoli;brocca;con ansa verticale e imboccatura tonda;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. I d.C.;prima metà;1 d.C.;ca.;50 d.C.;ca.;;;;bronzo;cm||;;;8||8,5;;"Corpo ovoidale allungato con basso piede appena accennato e fondo con cinque cerchi concentrici rilevati. Labbro estroflesso con baccellature sull'orlo; collo concavo convesso, corpo piriforme. Ansa a nastro decorata a rilievo con raffigurazione dal basso verso l'alto: kantharos costolato poggiante su una base, al di sopra una capra di profilo, segue un personaggio maschile barbato seduto e piegato in avanti con coltello, sotto i suoi piedi animale morto. Segue una doppia costolatura orizzontale e un cesto di frutta e un tondo ornato di rosette. Sulla presa sopraelevata tra due volute, amorino con grappolo d'uva e bastone ricurvo. All'attaco dell'ansa applique a testa di Gorgone di tre quarti. Bacellattura a kymation lesbico tra collo e spalla.";;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
